Year,ECD3_bp,CO2 (ppmv)
2022,2.0,414.8132388823617
2021,3.0,412.7120655699813
2020,4.0,410.53160269864304
2019,5.0,407.9943368119949
2018,6.0,405.0903567151672
2017,7.0,403.1477625207022
2016,8.0,400.8186317263182
2015,9.0,397.4488254706136
2014,10.0,395.2683625992754
2013,11.0,393.21674526124355
2012,12.0,390.56054503615877
2011,13.0,388.37017096995083
2010,14.0,386.63571186775
2009,15.0,384.197557929799
2008,16.0,382.4036316583798
2007,17.0,380.6097053869606
2006,18.0,378.6968447771048
2005,19.0,376.605582659594
2004,20.0,374.345830229298
2003,21.0,372.6411047117063
2002,22.0,370.13357240966735
2001,22.970000000000027,368.02248790241714
1998,26.0,361.78073658846415
1996,27.72072787000002,359.6477931830841
1994,29.59435787999996,357.10673969933646
1993,30.920000000000073,353.94668533391206
1992,31.686482939999905,353.72423581425323
1991,32.865183290000004,352.41630841973364
1989,34.02860026999997,350.8086522409729
1989,34.592032190000054,349.8002703595191
1988,35.93048806999991,347.59740561133145
1988,35.033665059999976,349.27841464963046
1987,36.79140839999991,345.44120600376243
1986,37.383983799999896,344.71776861346984
1986,37.85677166000005,343.9736767615952
1985,38.23781998000004,343.1107520502481
1984,39.083247049999954,342.0519764062061
1983,40.97408134000011,339.4604885213476
1983,40.92315013000007,341.3292967441024
1979,44.85741011999994,334.84855553252345
1976,47.20324963000007,335.54695345792317
1976,47.32963031999998,332.3689555204767
1975,48.42907876999993,332.3656863259178
1974,49.866586679999955,331.54980566810485
1972,51.958982189999915,330.3504422217994
1972,51.911665619999894,328.41588801232757
1970,53.36284976000002,324.9059936630005
1970,53.127318020000075,326.3093257445175
1970,53.77831652000009,324.5570616692709
1970,53.34369799000001,326.6491948420144
1969,54.57678198000008,324.70605757685405
1968,55.01562917000001,325.07717594979096
1968,55.46125144000007,320.38065078205506
1968,55.18613051000011,324.08551736938495
1966,57.21095592000006,320.4923553617883
1966,57.45476467000003,322.1747797142201
1965,58.133988430000045,320.98156635342656
1965,58.702121889999944,319.1950596158425
1965,58.773650769999904,319.8929363220089
1963,60.43550441000002,319.12347301713646
1963,60.799981720000005,319.06606441856763
1962,61.678083600000036,317.5216280215933
1962,61.45790846,317.4481354802273
1962,61.6046589099999,319.1381732232432
1962,61.3847201399999,318.61106261456985
1961,62.28410000000008,316.59261011941027
1960,63.43133828000009,318.20658038167187
1960,63.68595520000008,313.0933880516286
1959,64.90730415000007,311.98389241638387
1958,65.89721415000008,316.1014028920352
1958,65.43702888000007,316.3340200101121
1957,66.12757570999997,314.57216625352925
1957,66.74246115999995,315.2703546298443
1957,66.79662635999989,316.3253801823537
1957,66.89625290000004,314.4370577968855
1956,67.8427999999999,315.342073915026
1954,69.20403534999991,314.7139613439055
1953,70.28606263000006,312.8003637775662
1953,70.44143863999989,312.22274083278216
1953,70.20845564000001,313.1710570119369
1952,71.61608182999998,312.1844627182946
1950,73.7491,312.0017776102837
1950,74.33152825999991,313.6602846482332
1949,75.22594531999994,309.6939936066409
1948,76.29351309999993,311.57094999761165
1947,77.33660316999999,310.36290017732523
1947,77.37313995999989,312.8663621464335
1946,78.44277983000006,311.9671347125998
1946,78.38416084000005,312.5596867804179
1946,78.61261126999989,311.8114965345337
1945,79.23567707999996,311.2775834649954
1945,79.03719019000005,310.440204448011
1945,79.49095734000002,310.224309572614
1944,80.42635206,312.36164019507424
1943,81.96458714999994,312.8437329659678
1943,81.7926589199999,311.878053578341
1942,82.22030175000009,312.393938618938
1941,83.1605846299999,311.80226771747726
1941,83.24599123999997,307.7386635857962
1940,84.40817268,310.9510867188181
1940,84.77751491999993,311.21179432912515
1940,84.03099999999995,309.80091502114107
1939,85.03227736000008,310.4566675193962
1939,85.83840000000009,308.47982780846024
1939,85.87014750999992,311.94102882822733
1938,86.13211987,311.52050972739016
1938,86.23330695000004,312.3293254879136
1937,87.13678570000002,307.4076931745866
1936,88.94369888999995,306.3197983876916
1936,88.12664190999999,309.3446868650601
1936,88.29054332999999,307.25859856593024
1934,90.40695077999999,307.0755443187391
1934,90.12357539999994,309.6306260790445
1933,91.70639580000011,308.25556223436706
1933,91.46270071000004,308.27919921307927
1933,91.21907557000009,305.94402817135216
1931,93.17030616000011,305.7409186942765
1930,94.61367427000005,305.3808267142061
1929,95.25639999999999,305.78294147245686
1929,95.46069323000006,305.70537216677735
1929,95.84320000000002,305.66786848134046
1928,96.20354036999993,308.01874186181465
1926,98.68695709000008,304.96915678718324
1925,99.2516189800001,304.7159146968185
1923,101.49495778999994,303.1815383191544
1923,101.16311659000007,306.19862429992156
1920,104.2922188,301.8758603769565
1919,105.33160120000002,304.61320734820134
1918,106.12541188,303.85222132002366
1916,108.2139691299999,301.9151507114715
1915,109.60700403999999,300.7000886560916
1913,111.4848596899999,301.29772622272134
1912,112.90461155999992,297.7268153632511
1912,112.71498595999992,299.25727749401767
1911,113.28414915000008,298.10624698316605
1910,114.23523068999998,297.86910679162327
1909,115.47609211000008,301.50413540464433
1906,118.45643668999992,297.32821856127947
1906,118.64919585999996,299.0235966178361
1906,118.22579999999994,299.62686294971274
1904,120.09347466000008,295.9913578166476
1902,122.29812528999992,295.6106368299745
1901,123.82164923999994,294.22072160003313
1899,125.05759501000011,297.0473645165553
1899,125.34283968999989,295.2814574829282
1894,130.9396999999999,295.3164626735822
1894,130.34117893999996,293.16654166689625
1894,130.24367503999997,293.80883068272027
1893,131.12160448999998,294.8594308441452
1893,131.6094814600001,295.17192926023625
1890,134.99251946999993,292.3423879392772
1890,134.1310578099999,290.9175394046256
