Year,ECD3_bp,temp_anomaly,CO2 (ppmv),CH4_ppb
-132999,135023,-6.88,210.2575,411.3333333333333
-133086,135110,-8.34,209.94714285714286,409.5
-133174,135198,-6.99,209.63678571428574,407.6666666666667
-133263,135287,-7.66,209.32642857142858,405.8333333333333
-133352,135376,-7.715,209.01607142857142,404.0
-133356,135380,-7.77,208.7057142857143,400.85714285714283
-133451,135475,-7.73,208.39535714285716,397.7142857142857
-133546,135570,-7.8,208.085,394.57142857142856
-133642,135666,-7.15,207.77464285714285,391.42857142857144
-133741,135765,-6.83,207.46428571428572,388.2857142857143
-133829,135853,-8.01,207.1539285714286,385.14285714285717
-133853,135877,-7.74,206.84357142857144,382.0
-133925,135949,-7.47,206.53321428571428,385.85714285714283
-134017,136041,-6.54,206.22285714285715,389.7142857142857
-134105,136129,-7.39,205.91250000000002,393.57142857142856
-134197,136221,-8.39,205.60214285714287,397.42857142857144
-134297,136321,-7.89,205.2917857142857,401.2857142857143
-134395,136419,-8.48,204.98142857142858,405.14285714285717
-134422,136446,-8.605,204.67107142857145,409.0
-134497,136521,-8.73,204.3607142857143,403.3333333333333
-134602,136626,-8.77,204.05035714285714,397.6666666666667
-134615,136639,-8.52,203.74,392.0
-134706,136730,-8.27,203.436,386.3333333333333
-134801,136825,-8.51,203.132,380.6666666666667
-134856,136880,-8.315,202.828,375.0
-134903,136927,-8.12,202.524,377.5
-135003,137027,-8.46,202.22,380.0
-135105,137129,-8.68,201.916,382.5
-135208,137232,-7.44,201.612,385.0
-135303,137327,-7.46,201.30800000000002,387.5
-135397,137421,-8.28,201.00400000000002,390.0
-135497,137521,-8.11,200.70000000000002,392.5
-135575,137599,-7.9399999999999995,200.39600000000002,395.0
-135597,137621,-7.77,200.092,395.0
-135696,137720,-8.35,199.788,395.0
-135793,137817,-8.59,199.484,395.0
-135813,137837,-8.456666666666667,199.18,395.0
-135869,137893,-8.323333333333332,199.13153846153847,395.0
-135897,137921,-8.19,199.08307692307693,396.57142857142856
-135997,138021,-7.77,199.0346153846154,398.14285714285717
-136096,138120,-8.33,198.98615384615385,399.7142857142857
-136197,138221,-8.06,198.93769230769232,401.2857142857143
-136297,138321,-8.49,198.88923076923078,402.85714285714283
-136400,138424,-8.53,198.84076923076924,404.42857142857144
-136501,138525,-8.23,198.7923076923077,406.0
-136503,138527,-7.93,198.74384615384616,399.6666666666667
-136603,138627,-8.85,198.69538461538463,393.3333333333333
-136709,138733,-9.01,198.6469230769231,387.0
-136813,138837,-8.78,198.59846153846155,380.6666666666667
-136884,138908,-8.996666666666666,198.55,374.3333333333333
-136919,138943,-9.213333333333333,198.10384615384618,368.0
-136920,138944,-9.43,197.65769230769232,378.6666666666667
-137032,139056,-9.07,197.21153846153848,389.3333333333333
-137142,139166,-8.94,196.76538461538462,400.0
-137251,139275,-9.32,196.31923076923078,410.6666666666667
-137360,139384,-8.77,195.87307692307692,421.3333333333333
-137455,139479,-8.655,195.4269230769231,432.0
-137466,139490,-8.54,194.98076923076923,422.75
-137571,139595,-8.57,194.5346153846154,413.5
-137677,139701,-8.85,194.08846153846153,404.25
-137784,139808,-9.14,193.6423076923077,395.0
-137895,139919,-8.48,193.19615384615383,385.75
-137999,140023,-8.805,192.75,376.5
-138000,140024,-9.13,192.8796551724138,367.25
-138021,140045,-8.57,193.00931034482758,358.0
-138109,140133,-8.01,193.1389655172414,355.3333333333333
-138212,140236,-9.19,193.26862068965517,352.6666666666667
-138322,140346,-9.11,193.39827586206897,350.0
-138433,140457,-8.47,193.52793103448275,347.3333333333333
-138538,140562,-8.22,193.65758620689655,344.6666666666667
-138568,140592,-8.64,193.78724137931033,342.0
-138640,140664,-9.06,193.91689655172414,343.1666666666667
-138751,140775,-8.67,194.04655172413794,344.3333333333333
-138858,140882,-9.02,194.17620689655172,345.5
-138968,140992,-9.13,194.30586206896552,346.6666666666667
-139080,141104,-9.17,194.4355172413793,347.8333333333333
-139125,141149,-8.965,194.5651724137931,349.0
-139192,141216,-8.76,194.69482758620688,350.6666666666667
-139300,141324,-8.84,194.8244827586207,352.3333333333333
-139408,141432,-8.38,194.95413793103447,354.0
-139514,141538,-8.81,195.08379310344827,355.6666666666667
-139622,141646,-9.33,195.21344827586205,357.3333333333333
-139668,141692,-8.665,195.34310344827585,359.0
-139736,141760,-8.0,195.47275862068966,360.5
-139837,141861,-7.95,195.60241379310344,362.0
-139937,141961,-8.51,195.73206896551724,363.5
-140043,142067,-7.82,195.86172413793102,365.0
-140143,142167,-8.42,195.99137931034483,366.5
-140217,142241,-8.6,196.1210344827586,368.0
-140248,142272,-8.78,196.2506896551724,368.875
-140357,142381,-9.29,196.38034482758619,369.75
-140410,142434,-8.95,196.51,370.625
-140470,142494,-8.61,196.382,371.5
-140578,142602,-8.71,196.254,372.375
-140686,142710,-8.15,196.126,373.25
-140789,142813,-8.27,195.998,374.125
-140827,142851,-7.965,195.87,375.0
-140892,142916,-7.66,195.742,377.0
-140991,143015,-8.23,195.614,379.0
-141095,143119,-8.91,195.486,381.0
-141205,143229,-8.84,195.358,383.0
-141260,143284,-8.94,195.23,385.0
-141315,143339,-9.04,195.102,387.0
-141426,143450,-8.04,194.974,389.0
-141529,143553,-7.5,194.846,391.0
-141627,143651,-8.51,194.718,393.0
-141701,143725,-8.805,194.59,395.0
-141733,143757,-9.1,194.69214285714287,397.0
-141846,143870,-8.35,194.7942857142857,399.0
-141849,143873,-8.719999999999999,194.89642857142857,401.0
-141952,143976,-9.09,194.99857142857144,401.0
-142065,144089,-8.87,195.1007142857143,401.0
-142175,144199,-8.07,195.20285714285714,401.0
-142278,144302,-7.64,195.305,401.0
-142352,144376,-7.970000000000001,195.40714285714287,401.0
-142378,144402,-8.3,195.5092857142857,397.2857142857143
-142482,144506,-8.34,195.61142857142858,393.57142857142856
-142588,144612,-8.47,195.71357142857144,389.85714285714283
-142695,144719,-7.93,195.8157142857143,386.14285714285717
-142797,144821,-8.47,195.91785714285714,382.42857142857144
-142849,144873,-8.403333333333334,196.02,378.7142857142857
-142884,144908,-8.336666666666666,195.86812500000002,375.0
-142904,144928,-8.27,195.71625,377.2857142857143
-143009,145033,-7.91,195.564375,379.57142857142856
-143112,145136,-8.96,195.41250000000002,381.85714285714283
-143223,145247,-8.22,195.260625,384.14285714285717
-143328,145352,-8.1,195.10875000000001,386.42857142857144
-143432,145456,-7.92,194.956875,388.7142857142857
-143449,145473,-8.455,194.805,391.0
-143534,145558,-8.99,194.65312500000002,392.8333333333333
-143646,145670,-8.39,194.50125,394.6666666666667
-143754,145778,-8.8,194.349375,396.5
-143865,145889,-9.29,194.1975,398.3333333333333
-143981,146005,-8.82,194.045625,400.1666666666667
-144079,146103,-8.1,193.89375,402.0
-144092,146116,-7.38,193.741875,403.3333333333333
-144158,146182,-7.734999999999999,193.59,404.6666666666667
-144190,146214,-8.09,193.67538461538462,406.0
-144294,146318,-8.48,193.76076923076923,407.3333333333333
-144402,146426,-8.33,193.84615384615384,408.6666666666667
-144483,146507,-8.15,193.93153846153845,410.0
-144509,146533,-7.97,194.0169230769231,411.57142857142856
-144612,146636,-8.18,194.1023076923077,413.14285714285717
-144714,146738,-6.82,194.18769230769232,414.7142857142857
-144803,146827,-8.33,194.27307692307693,416.2857142857143
-144907,146931,-7.65,194.35846153846154,417.85714285714283
-145008,147032,-7.9,194.44384615384615,419.42857142857144
-145098,147122,-7.720000000000001,194.52923076923076,421.0
-145110,147134,-7.54,194.61461538461538,421.3333333333333
-145210,147234,-8.26,194.7,421.6666666666667
-145316,147340,-8.62,194.78538461538463,422.0
-145426,147450,-8.78,194.87076923076924,422.3333333333333
-145537,147561,-8.87,194.95615384615385,422.6666666666667
-145559,147583,-8.68,195.04153846153847,423.0
-145650,147674,-8.49,195.12692307692308,431.0
-145760,147784,-8.8,195.2123076923077,439.0
-145871,147895,-8.07,195.2976923076923,447.0
-145976,148000,-7.33,195.3830769230769,455.0
-146074,148098,-7.35,195.46846153846155,463.0
-146084,148108,-7.7749999999999995,195.55384615384617,471.0
-146173,148197,-8.2,195.63923076923078,464.85714285714283
-146277,148301,-7.66,195.7246153846154,458.7142857142857
-146283,148307,-7.405,195.81,452.57142857142856
-146377,148401,-7.15,196.23642857142858,446.42857142857144
-146474,148498,-7.94,196.66285714285715,440.2857142857143
-146577,148601,-8.15,197.08928571428572,434.1428571428571
-146632,148656,-8.265,197.5157142857143,428.0
-146683,148707,-8.38,197.94214285714287,428.7142857142857
-146791,148815,-8.31,198.36857142857144,429.42857142857144
-146898,148922,-7.65,198.79500000000002,430.14285714285717
-147000,149024,-8.14,199.22142857142856,430.85714285714283
-147106,149130,-8.31,199.64785714285713,431.57142857142856
-147213,149237,-8.09,200.0742857142857,432.2857142857143
-147240,149264,-8.29,200.50071428571428,433.0
-147320,149344,-8.49,200.92714285714285,434.3333333333333
-147429,149453,-7.86,201.35357142857143,435.6666666666667
-147516,149540,-7.86,201.78,437.0
-147533,149557,-7.86,201.82866666666666,438.3333333333333
-147636,149660,-6.91,201.87733333333333,439.6666666666667
-147686,149710,-7.375,201.926,441.0
-147731,149755,-7.84,201.97466666666668,434.8333333333333
-147834,149858,-6.92,202.02333333333334,428.6666666666667
-147929,149953,-7.14,202.072,422.5
-148026,150050,-7.0,202.12066666666666,416.3333333333333
-148122,150146,-6.96,202.16933333333333,410.1666666666667
-148176,150200,-6.9399999999999995,202.218,404.0
-148217,150241,-6.92,202.26666666666665,403.42857142857144
-148312,150336,-7.17,202.3153333333333,402.85714285714283
-148409,150433,-7.04,202.364,402.2857142857143
-148506,150530,-7.55,202.41266666666667,401.7142857142857
-148606,150630,-7.55,202.46133333333333,401.14285714285717
-148644,150668,-7.47,202.51,400.57142857142856
-148698,150722,-7.39,202.49545454545455,400.0
-148707,150731,-7.31,202.48090909090908,404.57142857142856
-148806,150830,-7.53,202.46636363636364,409.14285714285717
-148907,150931,-7.43,202.45181818181817,413.7142857142857
-149007,151031,-7.66,202.43727272727273,418.2857142857143
-149109,151133,-7.77,202.42272727272726,422.85714285714283
-149212,151236,-7.42,202.40818181818182,427.42857142857144
-149233,151257,-7.29,202.39363636363635,432.0
-149313,151337,-7.16,202.3790909090909,430.57142857142856
-149412,151436,-8.11,202.36454545454544,429.14285714285717
-149494,151518,-7.56,202.35,427.7142857142857
-149516,151540,-7.01,202.2225,426.2857142857143
-149615,151639,-7.6,202.095,424.85714285714283
-149716,151740,-7.7,201.9675,423.42857142857144
-149765,151789,-7.675000000000001,201.84,422.0
-149819,151843,-7.65,201.7125,422.57142857142856
-149922,151946,-7.76,201.585,423.14285714285717
-150026,152050,-7.81,201.45749999999998,423.7142857142857
-150130,152154,-7.93,201.32999999999998,424.2857142857143
-150235,152259,-7.61,201.2025,424.85714285714283
-150338,152362,-7.43,201.075,425.42857142857144
-150411,152435,-7.545,200.9475,426.0
-150439,152463,-7.66,200.82,423.4
-150542,152566,-7.4,200.6925,420.8
-150643,152667,-7.17,200.565,418.2
-150739,152763,-7.45,200.4375,415.6
-150831,152855,-7.795,200.31,413.0
-150840,152864,-8.14,200.1825,411.42857142857144
-150947,152971,-7.83,200.055,409.85714285714283
-151041,153065,-7.88,199.9275,408.2857142857143
-151146,153170,-7.88,199.8,406.7142857142857
-151252,153276,-8.07,199.6725,405.14285714285717
-151360,153384,-8.65,199.545,403.57142857142856
-151388,153412,-8.280000000000001,199.4175,402.0
-151472,153496,-7.91,199.29,402.14285714285717
-151579,153603,-7.89,199.1625,402.2857142857143
-151685,153709,-7.64,199.035,402.42857142857144
-151791,153815,-7.97,198.9075,402.57142857142856
-151824,153848,-8.165,198.78,402.7142857142857
-151898,153922,-8.36,198.58923076923077,402.85714285714283
-151972,153996,-8.73,198.39846153846153,403.0
-152010,154034,-9.1,198.2076923076923,401.3333333333333
-152128,154152,-9.0,198.0169230769231,399.6666666666667
-152246,154270,-8.03,197.82615384615386,398.0
-152354,154378,-8.19,197.63538461538462,396.3333333333333
-152464,154488,-8.43,197.4446153846154,394.6666666666667
-152515,154539,-8.530000000000001,197.25384615384615,393.0
-152576,154600,-8.63,197.06307692307692,391.85714285714283
-152691,154715,-9.28,196.87230769230771,390.7142857142857
-152812,154836,-9.03,196.68153846153848,389.57142857142856
-152931,154955,-8.72,196.49076923076925,388.42857142857144
-152939,154963,-8.905000000000001,196.3,387.2857142857143
-153047,155071,-9.09,195.83866666666668,386.14285714285717
-153072,155096,-9.01,195.37733333333335,385.0
-153167,155191,-8.93,194.916,389.4
-153285,155309,-8.48,194.45466666666667,393.8
-153398,155422,-8.53,193.99333333333334,398.2
-153513,155537,-9.25,193.532,402.6
-153615,155639,-8.805,193.07066666666668,407.0
-153634,155658,-8.36,192.60933333333332,405.6666666666667
-153747,155771,-8.38,192.148,404.3333333333333
-153859,155883,-8.62,191.68666666666667,403.0
-153975,155999,-8.99,191.22533333333334,401.6666666666667
-154094,156118,-9.92,190.764,400.3333333333333
-154208,156232,-9.975,190.30266666666665,399.0
-154224,156248,-10.03,189.84133333333332,402.8333333333333
-154356,156380,-9.58,189.38,406.6666666666667
-154486,156510,-8.78,189.3648,410.5
-154603,156627,-8.96,189.3496,414.3333333333333
-154723,156747,-9.61,189.3344,418.1666666666667
-154833,156857,-9.07,189.3192,422.0
-154849,156873,-8.53,189.304,418.85714285714283
-154965,156989,-8.94,189.2888,415.7142857142857
