,Year,temp_anomality,CO2 (ppmv),CH4_ppb
3195,-103716,-5.16,251.42,612.25
8949,-103749,-5.21,252.29999999999998,618.0
3194,-103775,-5.26,253.18,615.5714285714286
3193,-103834,-5.13,254.06,613.1428571428571
3192,-103893,-5.27,254.94,610.7142857142857
3191,-103952,-3.54,255.82,608.2857142857143
3190,-104005,-4.48,256.7,605.8571428571429
6683,-104039,-4.593333333333334,257.58,603.4285714285714
8948,-104042,-4.706666666666667,255.26857142857142,601.0
3189,-104060,-4.82,252.95714285714286,600.1428571428571
3188,-104116,-4.11,250.6457142857143,599.2857142857143
3187,-104172,-4.51,248.3342857142857,598.4285714285714
3186,-104227,-4.6,246.02285714285713,597.5714285714286
3185,-104283,-3.94,243.71142857142857,596.7142857142857
6682,-104306,-3.94,241.4,595.8571428571429
8947,-104326,-3.94,242.2575,595.0
3184,-104337,-3.94,243.115,594.4285714285714
3183,-104390,-4.16,243.97250000000003,593.8571428571429
6681,-104418,-3.92,244.83,593.2857142857143
3182,-104444,-3.68,244.50928571428574,592.7142857142857
3181,-104496,-3.94,244.18857142857144,592.1428571428571
3180,-104549,-3.33,243.86785714285716,591.5714285714286
8946,-104598,-3.46,243.54714285714286,591.0
3179,-104600,-3.59,243.22642857142858,575.5714285714286
3178,-104651,-3.01,242.90571428571428,560.1428571428571
3177,-104701,-3.72,242.585,544.7142857142857
3176,-104753,-4.15,242.26428571428573,529.2857142857143
3175,-104808,-5.17,241.94357142857143,513.8571428571429
3174,-104867,-4.83,241.62285714285716,498.42857142857144
8945,-104899,-4.73,241.30214285714285,483.0
3173,-104926,-4.63,240.98142857142858,477.57142857142856
3172,-104983,-4.03,240.66071428571428,472.14285714285717
6680,-105024,-4.425000000000001,240.34,466.7142857142857
3171,-105037,-4.82,240.19518518518518,461.2857142857143
3170,-105095,-4.29,240.0503703703704,455.85714285714283
3169,-105152,-5.0,239.90555555555557,450.42857142857144
8944,-105207,-5.16,239.76074074074074,445.0
3168,-105211,-5.32,239.61592592592592,447.14285714285717
3167,-105272,-5.06,239.47111111111113,449.2857142857143
3166,-105333,-4.87,239.3262962962963,451.42857142857144
3165,-105392,-5.83,239.18148148148148,453.57142857142856
3164,-105456,-5.03,239.03666666666666,455.7142857142857
3163,-105517,-5.52,238.89185185185187,457.85714285714283
8943,-105530,-5.215,238.74703703703705,460.0
3162,-105579,-4.91,238.60222222222222,460.6666666666667
3161,-105639,-5.58,238.4574074074074,461.3333333333333
3160,-105703,-5.63,238.3125925925926,462.0
3159,-105767,-5.54,238.1677777777778,462.6666666666667
3158,-105831,-6.25,238.02296296296296,463.3333333333333
8942,-105868,-6.24,237.87814814814814,464.0
3157,-105898,-6.23,237.73333333333335,465.8333333333333
3156,-105967,-6.39,237.58851851851853,467.6666666666667
3155,-106035,-6.46,237.4437037037037,469.5
3154,-106105,-6.38,237.29888888888888,471.3333333333333
3153,-106174,-6.52,237.1540740740741,473.1666666666667
8941,-106235,-6.664999999999999,237.00925925925927,475.0
3152,-106245,-6.81,236.86444444444444,476.375
3151,-106317,-6.89,236.71962962962962,477.75
3150,-106390,-7.51,236.57481481481483,479.125
6679,-106451,-6.9350000000000005,236.43,480.5
3149,-106466,-6.36,237.04615384615386,481.875
3148,-106537,-6.97,237.6623076923077,483.25
3147,-106610,-6.53,238.27846153846156,484.625
8940,-106627,-6.705,238.89461538461538,486.0
3146,-106682,-6.88,239.51076923076923,489.6666666666667
3145,-106755,-6.36,240.12692307692308,493.3333333333333
3144,-106826,-7.19,240.74307692307693,497.0
3143,-106900,-6.43,241.35923076923078,500.6666666666667
3142,-106972,-6.46,241.97538461538463,504.3333333333333
8939,-107012,-7.1,242.59153846153845,508.0
3141,-107043,-7.74,243.2076923076923,506.14285714285717
3140,-107121,-6.31,243.82384615384615,504.2857142857143
6678,-107179,-6.06,244.44,502.42857142857144
3139,-107193,-5.81,244.41785714285714,500.57142857142856
3138,-107260,-6.25,244.3957142857143,498.7142857142857
3137,-107330,-6.08,244.37357142857144,496.85714285714283
8938,-107361,-5.734999999999999,244.35142857142856,495.0
3136,-107398,-5.39,244.3292857142857,497.3333333333333
3135,-107466,-7.04,244.30714285714285,499.6666666666667
3134,-107539,-5.81,244.285,502.0
3133,-107607,-5.62,244.26285714285714,504.3333333333333
3132,-107673,-5.58,244.2407142857143,506.6666666666667
8937,-107699,-5.595000000000001,244.21857142857144,509.0
3131,-107740,-5.61,244.19642857142856,508.0
3130,-107806,-5.41,244.1742857142857,507.0
3129,-107871,-5.01,244.15214285714285,506.0
6677,-107889,-5.8149999999999995,244.13,505.0
3128,-107935,-6.62,244.31285714285713,504.0
3127,-108007,-5.67,244.49571428571429,503.0
8936,-108043,-4.96,244.67857142857142,502.0
3126,-108074,-4.25,244.86142857142858,502.5
3125,-108134,-5.35,245.0442857142857,503.0
3124,-108201,-6.42,245.22714285714287,503.5
3123,-108271,-5.62,245.41,504.0
3122,-108340,-5.58,245.59285714285713,504.5
8935,-108380,-5.025,245.7757142857143,505.0
3121,-108406,-4.47,245.95857142857142,503.14285714285717
3120,-108468,-5.12,246.14142857142858,501.2857142857143
3119,-108532,-5.27,246.3242857142857,499.42857142857144
3118,-108597,-5.26,246.50714285714287,497.57142857142856
6676,-108605,-5.415,246.69,495.7142857142857
3117,-108663,-5.57,247.1396,493.85714285714283
8934,-108720,-5.49,247.5892,492.0
3116,-108731,-5.41,248.0388,492.6666666666667
3115,-108797,-4.78,248.4884,493.3333333333333
3114,-108861,-5.29,248.938,494.0
3113,-108926,-4.8,249.3876,494.6666666666667
3112,-108990,-4.93,249.8372,495.3333333333333
8933,-109032,-5.1899999999999995,250.2868,496.0
3111,-109054,-5.45,250.7364,492.1666666666667
3110,-109121,-5.0,251.186,488.3333333333333
3109,-109186,-4.96,251.6356,484.5
3108,-109250,-4.12,252.08520000000001,480.6666666666667
3107,-109312,-5.73,252.5348,476.8333333333333
8932,-109359,-5.75,252.9844,473.0
3106,-109380,-5.77,253.434,473.1666666666667
3105,-109449,-4.69,253.8836,473.3333333333333
3104,-109514,-5.41,254.3332,473.5
3103,-109581,-5.19,254.7828,473.6666666666667
3102,-109647,-4.44,255.2324,473.8333333333333
8931,-109699,-4.9350000000000005,255.68200000000002,474.0
3101,-109711,-5.43,256.1316,471.42857142857144
3100,-109778,-5.47,256.5812,468.85714285714283
3099,-109847,-5.25,257.0308,466.2857142857143
3098,-109914,-5.18,257.48040000000003,463.7142857142857
6675,-109926,-5.005,257.93,461.14285714285717
3097,-109981,-4.83,257.854,458.57142857142856
8930,-110035,-5.105,257.778,456.0
3096,-110047,-5.38,257.702,455.8333333333333
3095,-110115,-5.62,257.62600000000003,455.6666666666667
3094,-110185,-4.48,257.55,455.5
3093,-110248,-4.6,257.474,455.3333333333333
3092,-110313,-5.14,257.398,455.1666666666667
8929,-110361,-5.385,257.322,455.0
3091,-110380,-5.63,257.24600000000004,456.5
3090,-110449,-4.6,257.17,458.0
3089,-110514,-4.15,257.094,459.5
3088,-110576,-5.07,257.01800000000003,461.0
3087,-110642,-4.02,256.942,462.5
8928,-110683,-3.953333333333333,256.86600000000004,464.0
6674,-110686,-3.8866666666666663,256.79,464.375
3086,-110703,-3.82,257.845,464.75
3085,-110764,-4.36,258.90000000000003,465.125
3084,-110827,-4.77,259.95500000000004,465.5
3083,-110892,-4.64,261.01,465.875
3082,-110957,-4.49,262.065,466.25
6673,-110991,-4.3566666666666665,263.12,466.625
8927,-111003,-4.223333333333334,263.446,467.0
3081,-111021,-4.09,263.772,465.0
3080,-111083,-4.1,264.098,463.0
3079,-111146,-5.08,264.424,461.0
6672,-111169,-4.145,264.75,459.0
3078,-111211,-3.21,264.4025,457.0
3077,-111271,-3.64,264.055,455.0
3076,-111331,-3.98,263.7075,453.0
8926,-111384,-3.755,263.36,451.0
3075,-111392,-3.53,263.0125,454.3333333333333
3074,-111452,-4.35,262.66499999999996,457.6666666666667
3073,-111516,-4.62,262.3175,461.0
3072,-111581,-3.73,261.96999999999997,464.3333333333333
3071,-111642,-3.42,261.6225,467.6666666666667
8925,-111646,-4.055,261.275,471.0
3070,-111702,-4.69,260.9275,471.0
6671,-111728,-3.975,260.58,471.0
3069,-111765,-3.26,261.19,471.0
3068,-111825,-3.06,261.79999999999995,471.0
3067,-111882,-2.82,262.40999999999997,471.0
8924,-111937,-3.0,263.02,471.0
3066,-111938,-3.18,263.63,471.15384615384613
3065,-111996,-3.03,264.24,471.3076923076923
3064,-112053,-2.83,264.84999999999997,471.46153846153845
3063,-112110,-2.87,265.46,471.61538461538464
3062,-112165,-2.01,266.07,471.7692307692308
3061,-112219,-3.14,266.67999999999995,471.9230769230769
3060,-112276,-2.96,267.28999999999996,472.0769230769231
6670,-112300,-3.02,267.9,472.2307692307692
3059,-112333,-3.08,268.45153846153846,472.38461538461536
3058,-112391,-2.55,269.0030769230769,472.53846153846155
3057,-112447,-2.02,269.5546153846154,472.6923076923077
3056,-112502,-3.09,270.1061538461538,472.84615384615387
8923,-112506,-3.2,270.6576923076923,473.0
3055,-112559,-3.31,271.20923076923077,473.2
3054,-112618,-3.27,271.7607692307692,473.4
3053,-112677,-2.69,272.3123076923077,473.6
3052,-112734,-2.42,272.86384615384617,473.8
8922,-112779,-2.025,273.4153846153846,474.0
3051,-112790,-1.63,273.9669230769231,473.7142857142857
3050,-112841,-1.84,274.5184615384615,473.42857142857144
6669,-112865,-2.165,275.07,473.14285714285717
3049,-112893,-2.49,275.19599999999997,472.85714285714283
3048,-112949,-2.85,275.322,472.57142857142856
3047,-113005,-2.17,275.448,472.2857142857143
8921,-113052,-2.31,275.574,472.0
3046,-113060,-2.45,275.7,476.8333333333333
3045,-113113,-0.96,275.82599999999996,481.6666666666667
3044,-113165,-2.16,275.952,486.5
3043,-113218,-1.92,276.078,491.3333333333333
3042,-113272,-2.18,276.204,496.1666666666667
8920,-113315,-1.695,276.33,501.0
3041,-113325,-1.21,276.45599999999996,500.2857142857143
3040,-113377,-2.6,276.582,499.57142857142856
3039,-113432,-2.12,276.70799999999997,498.85714285714283
3038,-113486,-2.36,276.834,498.14285714285717
6668,-113496,-2.295,276.96,497.42857142857144
3037,-113541,-2.23,276.61454545454546,496.7142857142857
8919,-113586,-2.15,276.2690909090909,496.0
3036,-113596,-2.07,275.9236363636364,496.8333333333333
3035,-113649,-1.62,275.5781818181818,497.6666666666667
3034,-113701,-2.28,275.2327272727273,498.5
3033,-113756,-2.6,274.8872727272727,499.3333333333333
3032,-113812,-1.63,274.5418181818182,500.1666666666667
8918,-113863,-1.525,274.1963636363636,501.0
3031,-113865,-1.42,273.8509090909091,500.14285714285717
3030,-113917,-2.61,273.50545454545454,499.2857142857143
6667,-113958,-2.16,273.16,498.42857142857144
3029,-113972,-1.71,273.19357142857143,497.57142857142856
3028,-114025,-1.63,273.2271428571429,496.7142857142857
3027,-114078,-2.56,273.2607142857143,495.85714285714283
8917,-114123,-1.99,273.2942857142857,495.0
3026,-114134,-1.42,273.32785714285717,496.5
3025,-114186,-1.73,273.3614285714286,498.0
3024,-114239,-3.03,273.395,499.5
3023,-114297,-1.55,273.42857142857144,501.0
3022,-114350,-0.81,273.46214285714285,502.5
8916,-114388,-1.01,273.4957142857143,504.0
3021,-114399,-1.21,273.5292857142857,507.42857142857144
3020,-114449,-1.01,273.5628571428571,510.85714285714283
3019,-114499,-1.24,273.5964285714286,514.2857142857143
6666,-114525,-1.13,273.63,517.7142857142857
3018,-114549,-1.02,273.65222222222224,521.1428571428571
3017,-114600,-1.6,273.6744444444444,524.5714285714286
8915,-114649,-1.54,273.69666666666666,528.0
3016,-114652,-1.48,273.7188888888889,530.6666666666666
3015,-114704,-1.19,273.7411111111111,533.3333333333334
3014,-114754,-0.56,273.7633333333333,536.0
3013,-114803,-1.32,273.78555555555556,538.6666666666666
3012,-114854,-1.71,273.80777777777774,541.3333333333334
8914,-114892,-1.005,273.83,544.0
3011,-114905,-0.3,273.8522222222222,542.1666666666666
3010,-114954,-0.79,273.8744444444444,540.3333333333334
3009,-115002,-0.43,273.89666666666665,538.5
3008,-115051,-0.99,273.9188888888889,536.6666666666666
3007,-115101,-1.56,273.94111111111107,534.8333333333334
8913,-115145,-0.76,273.9633333333333,533.0
3006,-115151,0.04,273.98555555555555,534.8571428571429
3005,-115199,-0.56,274.00777777777773,536.7142857142857
6665,-115235,-0.53,274.03,538.5714285714286
3004,-115246,-0.5,274.125,540.4285714285714
3003,-115294,-0.56,274.21999999999997,542.2857142857143
3002,-115342,-0.32,274.315,544.1428571428571
3001,-115390,0.34,274.40999999999997,546.0
3000,-115434,-0.7,274.505,546.1666666666666
2999,-115483,-0.76,274.6,546.3333333333334
2998,-115532,-0.2,274.695,546.5
2997,-115579,-0.39,274.79,546.6666666666666
2996,-115627,-0.37,274.885,546.8333333333334
6664,-115669,0.010000000000000009,274.98,547.0
2995,-115674,0.39,275.07785714285717,547.1666666666666
2994,-115719,-0.5,275.1757142857143,547.3333333333334
2993,-115767,-0.51,275.2735714285715,547.5
2992,-115814,0.4,275.37142857142857,547.6666666666666
2991,-115860,-0.41,275.4692857142857,547.8333333333334
8912,-115866,-0.15999999999999998,275.56714285714287,548.0
2990,-115907,0.09,275.665,547.4
2989,-115954,-0.87,275.7628571428572,546.8
2988,-116003,-0.65,275.8607142857143,546.2
2987,-116050,1.38,275.9585714285715,545.6
8911,-116086,1.055,276.05642857142857,545.0
2986,-116093,0.73,276.1542857142857,550.6666666666666
2985,-116136,1.14,276.25214285714287,556.3333333333334
2984,-116178,0.05,276.35,562.0
2983,-116225,-0.9,276.4478571428572,567.6666666666666
2982,-116273,0.22,276.5457142857143,573.3333333333334
8910,-116319,-0.05000000000000002,276.6435714285715,579.0
2981,-116320,-0.32,276.74142857142857,577.0
2980,-116368,-0.7,276.8392857142857,575.0
2979,-116416,0.43,276.9371428571429,573.0
2978,-116462,0.5,277.035,571.0
2977,-116506,0.7,277.1328571428572,569.0
2976,-116551,-0.49,277.2307142857143,567.0
8909,-116559,-0.16499999999999998,277.3285714285715,565.0
2975,-116598,0.16,277.4264285714286,566.8571428571429
2974,-116645,-0.09,277.5242857142857,568.7142857142857
2973,-116692,-0.35,277.6221428571429,570.5714285714286
6663,-116708,-0.21,277.72,572.4285714285714
2972,-116740,-0.07,277.13294117647064,574.2857142857143
2971,-116787,0.75,276.5458823529412,576.1428571428571
8908,-116794,0.28,275.9588235294118,578.0
2970,-116831,-0.19,275.37176470588236,578.1666666666666
2969,-116878,0.29,274.78470588235297,578.3333333333334
2968,-116924,0.41,274.1976470588236,578.5
2967,-116968,1.33,273.61058823529413,578.6666666666666
2966,-117012,0.16,273.02352941176474,578.8333333333334
8907,-117013,0.8800000000000001,272.4364705882353,579.0
2965,-117055,1.6,271.8494117647059,580.7142857142857
2964,-117097,0.56,271.26235294117646,582.4285714285714
2963,-117141,0.61,270.67529411764707,584.1428571428571
2962,-117186,0.32,270.0882352941177,585.8571428571429
2961,-117231,0.19,269.50117647058823,587.5714285714286
2960,-117277,0.72,268.91411764705884,589.2857142857143
8906,-117290,0.5733333333333334,268.3270588235294,591.0
6662,-117292,0.4266666666666667,267.74,587.0
2959,-117322,0.28,268.2669230769231,583.0
2958,-117367,0.3,268.7938461538462,579.0
2957,-117412,0.87,269.32076923076926,575.0
2956,-117457,-0.33,269.8476923076923,571.0
