,Year,ECD3_bp,temp,temp_anomality
0,2022,2.0,-53.56193737769076,2.209956654534828
1,2020,4.0,-53.99129158512716,1.7806024470984312
2,2019,5.0,-53.88395303326807,1.887940998957518
3,2018,6.0,-54.849999999999966,0.921894032225623
4,2017,7.0,-55.06467710371816,0.7072169285074281
5,2014,10.0,-55.06467710371816,0.7072169285074281
6,2013,11.0,-54.635322896281764,1.136571135943825
7,2012,12.0,-55.60136986301366,0.17052416921193014
8,2011,13.0,-53.883953033268064,1.887940998957525
9,2010,14.0,-56.46007827788645,-0.6881842456608638
10,2004,20.0,-54.09863013698626,1.6732638952393302
11,2003,21.0,-55.70870841487276,0.06318561735282913
12,2001,23.0,-54.635322896281764,1.136571135943825
13,2000,24.0,-54.849999999999966,0.921894032225623
14,1993,30.44023,-54.849999999999966,0.921894032225623
15,1987,36.55981,-54.849999999999966,0.921894032225623
16,1981,42.35844,-54.849999999999966,0.921894032225623
17,1974,49.44722,-54.849999999999966,0.921894032225623
18,1967,56.215779999999995,-54.849999999999966,0.921894032225623
19,1961,62.98695,-54.849999999999966,0.921894032225623
20,1953,70.7297,-54.849999999999966,0.921894032225623
21,1944,79.447842,-54.849999999999966,0.921894032225623
22,1936,87.52999,-54.849999999999966,0.921894032225623
23,1927,96.27284,-54.849999999999966,0.921894032225623
24,1919,104.70987,-54.849999999999966,0.921894032225623
25,1911,112.51757,-54.849999999999966,0.921894032225623
26,1902,121.00211,-53.94999999999999,1.8218940322256003
27,1894,129.20552,-52.74999999999997,3.0218940322256174
28,1885,138.43646,-55.44999999999999,0.3218940322256003
29,1876,147.05572999999998,-56.14999999999998,-0.3781059677743883
30,1868,155.72349,-55.74999999999997,0.021894032225617366
31,1859,164.43857,-55.74999999999997,0.021894032225617366
32,1850,173.70485,-56.24999999999997,-0.47810596777438263
33,1840,183.8195,-54.94999999999999,0.8218940322256003
34,1830,193.2176,-56.349999999999966,-0.578105967774377
35,1820,203.3916,-56.849999999999966,-1.078105967774377
36,1810,213.9534,-55.349999999999966,0.42189403222562305
37,1799,224.1377,-56.14999999999998,-0.3781059677743883
38,1789,234.6797,-54.74999999999997,1.0218940322256174
39,1778,245.2088,-55.44999999999999,0.3218940322256003
40,1768,255.7194,-56.44999999999999,-0.6781059677743997
41,1758,265.8325,-56.94999999999999,-1.1781059677743997
42,1747,276.293,-55.24999999999997,0.5218940322256174
43,1737,286.5394,-58.14999999999998,-2.3781059677743883
44,1726,297.471,-55.349999999999966,0.42189403222562305
45,1716,307.99670000000003,-54.94999999999999,0.8218940322256003
46,1705,318.8395,-55.04999999999998,0.721894032225606
47,1694,329.6953,-55.74999999999997,0.021894032225617366
48,1683,340.864,-55.849999999999966,-0.07810596777437695
49,1672,351.9812,-57.14999999999998,-1.3781059677743883
50,1660,363.4143,-56.04999999999998,-0.278105967774394
51,1648,375.1585,-55.54999999999998,0.221894032225606
52,1637,386.545,-56.94999999999999,-1.1781059677743997
53,1626,397.9099,-56.14999999999998,-0.3781059677743883
54,1614,409.5896,-56.349999999999966,-0.578105967774377
55,1603,420.8579,-55.74999999999997,0.021894032225617366
56,1591,432.6178,-56.44999999999999,-0.6781059677743997
57,1579,444.9679,-56.64999999999998,-0.8781059677743883
58,1567,456.9111,-57.24999999999997,-1.4781059677743826
59,1554,469.2021,-56.24999999999997,-0.47810596777438263
60,1542,481.2843,-55.849999999999966,-0.07810596777437695
61,1531,492.6733,-55.54999999999998,0.221894032225606
62,1519,504.4257,-57.44999999999999,-1.6781059677743997
63,1507,516.5554,-55.54999999999998,0.221894032225606
64,1495,528.3007,-55.64999999999998,0.12189403222561168
65,1483,540.2551000000001,-56.349999999999966,-0.578105967774377
66,1471,552.2794,-56.54999999999998,-0.778105967774394
67,1459,564.3924,-55.349999999999966,0.42189403222562305
68,1446,577.0865,-58.14999999999998,-2.3781059677743883
69,1433,590.0368,-56.64999999999998,-0.8781059677743883
70,1420,603.475,-56.14999999999998,-0.3781059677743883
71,1407,616.6268,-54.44999999999999,1.3218940322256003
72,1394,629.8396,-55.04999999999998,0.721894032225606
73,1381,642.3494,-56.54999999999998,-0.778105967774394
74,1369,654.9313,-54.349999999999966,1.421894032225623
75,1356,667.5725,-56.64999999999998,-0.8781059677743883
76,1343,680.2219,-56.54999999999998,-0.778105967774394
77,1330,693.1082,-54.24999999999997,1.5218940322256174
78,1318,705.65,-54.74999999999997,1.0218940322256174
79,1305,718.5452,-55.44999999999999,0.3218940322256003
80,1292,731.9103,-56.74999999999997,-0.9781059677743826
81,1277,746.1189,-56.349999999999966,-0.578105967774377
