Year,1,2,3,4,5,6,7,8,9,10,11,12,Year_meanR,Rain_Anomaly
1896,48.8,56.5,119.7,35.5,11.2,70.7,148.5,59.9,159.2,101.0,34.8,165.6,84.28333333333333,-6.064166666666679
1897,73.1,72.5,147.3,112.0,47.8,119.6,60.6,149.4,77.3,90.1,127.6,139.9,101.43333333333334,11.085833333333326
1898,78.5,79.1,34.1,109.8,89.4,77.7,31.9,132.8,88.4,123.5,122.7,95.1,88.58333333333333,-1.7641666666666822
1899,133.4,100.1,52.7,98.6,87.8,60.3,77.0,67.9,82.4,57.9,92.9,184.8,91.31666666666666,0.9691666666666521
1900,112.6,107.5,25.7,66.8,79.4,117.7,75.4,134.8,46.5,133.2,163.8,141.5,100.40833333333335,10.060833333333335
1901,108.7,42.9,80.6,81.1,49.1,75.6,33.3,98.6,133.6,107.6,96.4,118.5,85.5,-4.847500000000011
1902,70.9,83.5,67.2,73.1,69.5,74.0,80.7,76.2,86.8,69.9,144.8,96.4,82.75000000000001,-7.597499999999997
1903,161.1,97.8,168.6,49.1,70.7,68.1,129.9,150.5,106.0,156.0,73.2,104.2,111.2666666666667,20.919166666666683
1904,120.1,133.1,77.1,60.5,65.3,54.8,99.8,114.2,96.1,64.9,75.2,83.1,87.01666666666667,-3.330833333333345
1905,75.3,54.1,135.1,77.9,37.3,55.5,49.2,157.4,52.7,47.7,113.9,75.8,77.65833333333333,-12.68916666666668
1906,135.2,84.4,67.6,52.4,99.0,49.0,64.8,87.1,34.5,131.7,72.5,90.0,80.68333333333334,-9.664166666666674
1907,47.0,63.6,75.6,75.9,104.7,111.4,69.7,95.8,40.0,140.7,92.7,130.3,87.28333333333335,-3.064166666666665
1908,84.4,67.2,106.3,67.0,74.4,51.0,81.3,97.7,151.4,60.5,73.7,116.4,85.94166666666668,-4.405833333333334
1909,72.8,53.1,91.9,128.0,52.0,53.6,75.7,40.4,63.1,158.4,49.7,120.8,79.95833333333333,-10.389166666666682
1910,101.1,145.4,67.5,67.6,65.0,108.8,88.8,155.0,28.7,69.9,114.7,115.7,94.01666666666667,3.669166666666655
1911,46.7,81.8,56.6,67.2,56.2,55.1,80.3,65.2,73.4,110.6,130.9,195.3,84.94166666666666,-5.405833333333348
1912,114.2,105.3,122.6,34.5,38.5,144.5,117.3,133.5,25.2,84.2,75.4,128.7,93.65833333333335,3.310833333333335
1913,173.0,53.2,106.6,104.9,114.2,71.8,24.3,37.1,107.1,124.3,120.4,80.7,93.13333333333333,2.785833333333315
1914,59.6,149.9,125.5,45.8,52.1,31.5,85.4,125.8,62.7,56.3,117.7,211.0,93.60833333333335,3.2608333333333377
1915,102.7,140.3,31.1,55.7,47.3,48.9,134.2,83.2,49.4,118.4,89.2,170.3,89.22500000000001,-1.1225000000000023
1916,75.5,122.5,58.6,94.8,113.8,66.3,59.6,84.5,55.2,206.2,162.9,93.6,99.45833333333333,9.110833333333318
1917,62.1,48.4,83.2,48.5,87.6,60.3,67.9,195.7,56.7,139.6,99.3,71.2,85.04166666666667,-5.305833333333339
1918,102.0,124.1,53.0,38.9,64.3,45.5,100.4,76.3,174.0,120.7,97.4,145.2,95.14999999999999,4.802499999999981
1919,116.6,64.3,80.7,48.8,78.7,66.3,34.3,82.0,73.6,38.0,73.2,160.9,76.45,-13.897500000000008
1920,144.3,66.9,102.0,102.6,103.5,53.7,125.4,70.3,66.5,130.4,105.1,104.1,97.89999999999999,7.552499999999981
1921,110.5,47.2,94.7,26.1,60.5,8.4,106.6,112.5,41.6,86.3,110.8,91.8,74.74999999999999,-15.597500000000025
1922,120.5,108.7,58.8,82.1,49.6,46.9,93.6,111.6,88.5,39.1,50.6,111.0,80.08333333333334,-10.264166666666668
1923,82.9,174.1,70.5,97.2,46.2,29.1,79.3,156.8,108.4,123.1,97.6,98.9,97.00833333333333,6.660833333333315
1924,152.6,48.3,36.1,86.5,104.3,98.3,107.8,118.7,164.0,100.4,111.1,165.7,107.81666666666666,17.469166666666652
1925,118.0,123.0,27.0,106.5,132.2,15.6,89.3,72.8,76.4,105.5,73.1,85.7,85.425,-4.922500000000014
1926,183.1,90.9,42.4,63.3,84.9,76.3,79.8,88.3,59.1,92.0,145.4,31.1,86.38333333333333,-3.964166666666685
1927,127.3,72.7,109.5,48.6,47.7,93.3,97.4,138.8,115.0,87.5,101.7,105.1,95.38333333333333,5.035833333333315
1928,155.0,101.2,131.9,68.1,45.5,144.8,50.6,138.9,67.5,172.5,146.1,115.0,111.425,21.077499999999986
1929,56.4,135.2,20.0,34.2,76.3,57.5,100.1,117.3,32.1,125.9,160.9,219.1,94.58333333333333,4.235833333333318
1930,155.5,28.8,125.3,53.1,53.3,59.4,89.4,158.7,115.6,160.5,121.2,117.1,103.15833333333332,12.810833333333306
1931,83.4,82.9,95.2,78.3,117.7,116.8,103.6,86.2,77.7,55.6,197.5,77.1,97.66666666666667,7.319166666666661
1932,122.0,7.3,62.1,86.3,89.7,40.8,119.5,62.2,84.1,111.4,61.7,167.0,84.50833333333334,-5.839166666666671
1933,93.3,87.8,84.5,44.7,84.3,66.2,76.3,52.1,33.9,87.9,50.5,59.6,68.425,-21.922500000000014
1934,108.1,8.3,94.9,80.6,69.1,51.3,54.4,125.9,160.9,118.3,43.8,188.4,92.0,1.6524999999999892
1935,41.4,103.1,45.5,84.1,33.2,133.9,27.4,71.5,155.6,114.4,128.1,86.5,85.39166666666667,-4.955833333333345
1936,144.0,83.2,73.8,49.0,38.6,89.2,169.5,44.5,106.4,73.3,110.2,127.3,92.41666666666667,2.0691666666666606
1937,174.9,137.3,94.3,82.4,55.5,47.6,117.1,70.8,102.9,68.6,69.2,77.2,91.48333333333335,1.1358333333333377
1938,131.4,58.7,47.5,5.3,99.6,102.2,134.1,89.4,75.9,176.0,159.3,124.0,100.28333333333332,9.935833333333306
1939,130.0,96.9,79.7,48.2,30.4,59.8,119.1,50.4,59.1,86.0,193.5,84.0,86.425,-3.9225000000000136
1940,106.2,127.5,95.0,97.9,47.8,35.5,95.2,18.2,65.3,177.0,139.4,114.6,93.3,2.9524999999999864
1941,106.3,107.6,86.8,45.4,68.9,25.2,75.4,93.6,32.0,92.3,167.5,62.4,80.28333333333333,-10.06416666666668
1942,150.3,39.2,97.6,62.5,112.8,13.1,93.3,124.7,116.0,66.1,24.2,140.1,86.65833333333335,-3.689166666666665
1943,175.8,55.2,33.5,54.9,103.5,80.3,61.8,119.4,96.4,125.7,80.6,72.3,88.28333333333335,-2.064166666666665
1944,108.9,36.9,16.9,68.4,45.6,58.2,97.1,77.5,132.9,139.1,160.3,120.9,88.55833333333334,-1.7891666666666737
1945,88.2,102.8,42.3,43.0,98.5,108.8,114.4,59.1,92.1,105.4,34.2,137.4,85.51666666666667,-4.830833333333345
1946,125.4,88.0,59.2,34.1,64.7,99.3,88.1,150.8,162.9,68.7,136.6,136.3,101.17500000000001,10.8275
1947,135.9,71.9,184.8,104.9,115.2,122.9,92.0,27.8,79.7,71.7,134.6,106.0,103.95,13.602499999999992
1948,200.5,67.6,74.8,65.5,59.9,91.0,70.8,98.2,93.6,106.8,94.0,199.0,101.80833333333332,11.460833333333312
1949,71.6,71.5,57.5,75.9,60.9,30.8,62.3,104.1,63.4,157.2,102.5,115.2,81.075,-9.272500000000008
1950,68.8,138.7,57.6,89.0,31.8,61.2,126.1,152.1,164.1,88.3,93.5,99.2,97.53333333333335,7.185833333333335
1951,125.4,98.6,85.8,49.7,56.6,53.6,68.9,134.6,128.7,53.3,153.6,162.3,97.59166666666668,7.244166666666672
1952,127.0,24.9,67.6,64.3,65.2,63.5,33.0,100.0,53.6,145.7,79.7,104.7,77.43333333333334,-12.914166666666674
1953,40.3,47.5,19.9,72.9,59.8,43.6,129.0,96.0,107.8,88.0,104.3,87.8,74.74166666666666,-15.60583333333335
1954,79.4,117.0,101.5,28.7,104.3,65.9,89.4,79.1,129.3,173.9,145.0,128.0,103.45833333333333,13.110833333333318
1955,111.9,100.7,39.6,71.5,91.7,129.2,18.9,47.1,83.0,58.9,87.7,138.8,81.58333333333333,-8.764166666666682
1956,106.8,35.2,86.4,29.2,44.7,78.1,119.8,141.2,122.6,73.9,66.7,161.5,88.84166666666665,-1.5058333333333564
1957,127.1,92.4,128.7,33.1,59.5,47.1,100.2,87.9,166.0,110.1,44.0,112.7,92.39999999999999,2.0524999999999807
1958,131.4,121.0,81.3,34.5,110.0,127.9,121.2,141.8,139.9,71.9,69.1,130.9,106.74166666666667,16.394166666666663
1959,84.7,30.3,95.7,83.5,54.9,62.9,63.1,32.2,38.2,146.0,121.9,201.8,84.60000000000001,-5.747500000000002
1960,116.1,95.6,83.4,74.5,69.8,71.5,144.9,119.4,119.5,140.2,167.1,126.1,110.675,20.327499999999986
